"name","desc","type1","type2","egg_group"
"비크티니","승리를 이끄는 포켓몬이다.비크티니를 데리고 있는 트레이너는 그 어떠한 승부에서도 '항상' 승리한다고 한다.몸 안에서 무한의 에너지를 만들어 낸다. 자신이 만난 상대에게 이 에너지를 나누어 준다.비크티니가 무한히 만들어내는 에너지를 나누어 받으면 전신에 파워가 넘친다.승리를 부르는 포켓몬이다.비크티니와 함께하는 트레이너는 그 어떤 승부에서도 승리한다고 한다.비크티니가 무한히 만들어내는 에너지를 나누어 받으면 전신에 파워가 넘친다.승리를 부르는 포켓몬이다.비크티니와 함께하는 트레이너는 그 어떤 승부에서도 승리한다고 한다.비크티니가 무한히 만들어내는 에너지를 나누어 받으면 전신에 파워가 넘친다.도감에 없음등장하지 않음도감에 없음","에스퍼","불꽃","알미발견"
"주리비얀","지능이 높아 매우 냉정. 햇빛을 듬뿍 쬐면 움직임이 날카로워진다.꼬리로 태양의 빛을 받아 광합성한다. 기운이 빠지면 꼬리가 축 늘어진다.태양의 빛을 받으면 평소보다 빨리 움직일 수 있다. 손보다 덩굴을 잘 사용한다.꼬리로 태양의 빛을 받아 광합성한다. 기운이 빠지면 꼬리가 축 늘어진다.자료 없음","풀","","육상,식물"
"샤비","땅을 미끄러지듯 달린다. 빠른 움직임으로 상대를 혼란시키고 덩쿨채찍으로 꼼짝 못하게 한다.무성한 초목의 그림자를 헤쳐나가며 공격을 피한다. 채찍으로 능숙하게 반격한다.몸이 더러워지면 잎으로 광합성을 할 수 없기 때문에 항상 청결하게 하고 있다.자료 없음","풀","","육상,식물"
"샤로다","째려보는 것만으로 상대의 움직임을 멈춰버리게 한다. 태양 에너지를 몸 안에서 증폭시킨다.머리를 높이 치켜들어 상대를 위압한다. 강한 적과 싸울 때만 진정한 힘을 발휘한다.샤로다의 고상한 눈동자로 쏘아보아도 태연할 정도로 강한 상대에게만 진정한 실력을 발휘한다.째려보기만 해도 상대의 움직임을 멈추게 한다. 태양에너지를 체내에서 증폭시킨다.자료 없음","풀","","육상,식물"
"뚜꾸리","적의 공격을 가볍게 피해서 코에서 불의 구체를 쏘아낸다. 불꽃으로 나무열매를 구워서 먹는다.콧구멍에서 불꽃을 뿜는다. 감기에 걸리면 불꽃이 아니라 검은 연기가 되어버린다.구운 나무열매를 먹는 것을 매우 좋아하지만 너무 흥분해서 가끔 새까맣게 태워버린다.적의 공격을 가볍게 피하고 코로 불구슬을 쏘아댄다. 불꽃으로 나무열매를 구워 먹는다.구운 나무열매를 먹는 것을 매우 좋아하지만 너무 흥분해서 가끔 새까맣게 태워버린다.자료 없음","불꽃","","육상"
"차오꿀","체내의 불꽃이 타오르면 움직임의 날카로움과 스피드가 빨라진다.위기 상황이 되면 연기를 뿜어낸다.먹은 것을 연료로 하여 위에서 불꽃을 태우는 것이다. 화가 나면 화력이 오른다.먹을수록 태울 것이 많아져 위 속의 불꽃이 강해지고 파워도 점점 넘치게 된다.체내의 불꽃이 타오르면 움직임이 더 빠르고 예리해진다. 위급해지면 연기를 뿜어낸다.자료 없음","불꽃","격투","육상"
"염무왕","아랫턱의 불꽃으로 주먹을 불태워 불꽃의 펀치를 내지른다. 매우 동료를 아끼는 포켓몬.불꽃 턱수염을 기른다. 파워와 스피드를 겸비한 격투 기술을 가지고 있다.턱수염의 불꽃이 불타오르는 것은 기합이 들어간 증거. 수많은 기술을 능숙하게 다룬다.턱의 화염으로 주먹을 불태워 불꽃펀치를 날린다. 동료애가 깊은 포켓몬이다.불꽃 턱수염을 기르고 있다. 파워와 스피드를 겸비한 격투 기술을 익히고 있다.자료 없음","불꽃","격투","육상"
"수댕이","배의 조가비로 싸운다. 공격을 막고 그 즉시 베어 반격한다.배의 가리비칼은 손톱과 같은 성분으로 되어져 있다. 배에서 떼어내어 주머니칼로서 사용한다.배에 생기는 가리비칼은 싸울 때뿐 아니라 딱딱한 나무열매를 쪼갤 때도 사용한다.배에 있는 가리비칼로 싸운다. 공격을 막고 그 즉시 베어 반격한다.배에 생기는 가리비칼은 싸울 때뿐 아니라 딱딱한 나무열매를 쪼갤 때도 사용한다.배에 있는 가리비칼로 싸운다. 공격을 막고 그 즉시 베어 반격한다.자료 없음","물","","육상"
"쌍검자비","흐르는듯한 칼 솜씨로 두개의 조가비를 다루는 기술은 혹독한 수행으로 몸에 익힌다.익힌 조가비칼 기술은 쌍검자비마다 다르다. 조가비칼의 손질은 거르지 않는다.혹독한 수행 끝에 쌍검자비마다 다른 형태의 가리비칼 다루는 기술을 습득한다.물 흐르는 듯한 칼솜씨로 2개의 가리비칼을 사용하는 기술은 엄격한 수련을 통해 익힌 것이다.혹독한 수행 끝에 쌍검자비마다 다른 형태의 가리비칼 다루는 기술을 습득한다.자료 없음","물","","육상"
"대검귀","갑옷에 장착된 검을 한번 휘두름으로 상대를 쓰러뜨린다.한번의 노려봄으로 적을 멈추게 할수 있다.앞발의 갑옷 일부가 큰 검이 되어져 있다. 으르렁거리는 것만으로 상대를 위압한다.상대가 눈을 깜빡이는 동안에 앞다리에 붙어 있는 각검으로 상대를 베고 원래대로 되돌린다.갑옷에 내장된 검으로 한칼에 상대를 제압한다. 눈빛만으로 상대를 침묵시킨다.자료 없음","물","","육상"
"보르쥐","볼의 주머니에 먹이를 저축하여 며칠이고 망보기를 계속한다. 꼬리로 동료에게 신호한다.경계심이 강해 교대로 서식지 주변을 계속 망을 보고 있다. 망보기가 없으면 불안한 것이다.경계심이 강해서 반드시 한 마리는 망을 보고 있으나 뒤에서 오는 상대는 알아차리지 못한다.자료 없음","노말","","육상"
"보르그","볼의 주머니에 모아둔 열매의 씨를 날려서 공격. 적을 발견하면 꼬리를 치켜세운다.몸의 문양을 빛내서 적을 위협한다. 어두운 곳이라도 주변을 볼 수 있는 눈을 가졌다.체내의 발광물질로 눈이나 몸을 빛나게 하여 습격해 온 상대를 풀이 죽게 만든다.뺨의 주머니에 모아둔 나무열매의 씨앗을 날려서 공격한다. 적을 발견하면 꼬리를 세운다.자료 없음","노말","","육상"
"요테리","강한 상대에게도 용감히 대항하지만 불리한 싸움을 피하는 지능이 높은 포켓몬.얼굴을 덮은 긴 털은 뛰어난 레이더. 주위의 상태를 민감하게 살핀다.용맹한 포켓몬이지만 상대의 강함을 확인하고 싸움을 피하는 영리함도 함께 갖추고 있다.얼굴을 둘러싼 긴 털은 우수한 레이더다. 주위 상황을 민감히 살핀다.용맹한 포켓몬이지만 상대의 강함을 확인하고 싸움을 피하는 영리함도 함께 갖추고 있다.얼굴을 둘러싼 긴 털은 우수한 레이더다. 주위 상황을 민감히 살핀다.용맹한 포켓몬이지만 상대의 강함을 확인하고 싸움을 피하는 영리함도 함께 갖추고 있다.컹컹 짖거나 하지 않으므로 맨션에 사는 트레이너에게 인기가 많은 포켓몬이다.얼굴을 둘러싼 털은 레이더 역할을 하여 싸우는 상대의 상태를 살핀다.판단력이 뛰어난 포켓몬. 이길 수 없는 상대라고 판단되면 바로 꼬리를 내리고 도망친다.영리해서 트레이너가 하는 말을 잘 따르기 때문에 초보자라도 키우기 쉬워서 인기 있는 포켓몬이다.등장하지 않음용감하고 신중하다. 얼굴을 덮고 있는 부드러운 털로 주변의 정보를 캐치한다.또래의 아이보다 훨씬 영리하다. 사랑받은 것도 혼난 것도 잊지 않는다.","노말","","육상"
"하데리어","망토처럼 몸을 덮은 검은 체모는 매우 견고하다. 받은 데미지를 줄여준다.트레이너의 지시에 충실. 오랜 옛날부터 포켓몬을 키워준 트레이너를 도왔다.트레이너를 도와주면서 다른 포켓몬을 돌보기도 하는 매우 충실한 포켓몬.매우 단단한 검은 털이 망토처럼 몸을 둘러싸고 있다. 입은 데미지를 줄여준다.트레이너를 도와주면서 다른 포켓몬을 돌보기도 하는 매우 충실한 포켓몬.매우 단단한 검은 털이 망토처럼 몸을 둘러싸고 있다. 입은 데미지를 줄여준다.검은 털은 매우 단단하며 빠르게 자란다. 손질 비용이 들어서 큰일인 포켓몬.주인의 명령에 충실하다. 그러나 아래라고 보는 상대가 하는 말은 절대로 듣지 않는다.검은 털은 자랄수록 딱딱하고 튼튼해져 발톱이나 이빨로도 쉽게 뚫을 수 없다.먼 옛날의 벽화에 모습이 그려져 있을 정도로 오랫동안 인간과 생활을 함께해 왔다.등장하지 않음매우 영리하고 금방 친해진다. 인간의 파트너가 된 첫 포켓몬이라는 설도 있다.몸을 뒤덮은 검은 털은 두껍고 탄력이 있다. 날카로운 이빨도 튕겨낸다.","노말","","육상"
