"name","desc","type1","type2","egg_group"
"도치마론","머리의 가시는 평소에는 부드럽지만 힘을 주면 뾰족하고 날카로워지며 바위를 뚫어 버릴 정도로 단단해진다.머리와 등이 단단한 껍데기로 덮여 있기 때문에 트럭이 부딪혀와도 아무렇지 않다.머리의 가시는 평소에는 부드럽지만 힘을 주면 뾰족하고 날카로워지며 바위를 뚫어 버릴 정도로 단단해진다.머리와 등이 단단한 껍데기로 덮여 있기 때문에 트럭이 부딪혀와도 아무렇지 않다.자료 없음","풀","","육상"
"도치보구","몸을 둘러싼 단단한 껍질이 적의 공격을 튕겨내고 날카로운 가시로 반격한다.동료끼리 몸을 서로 부딪쳐 하반신을 단련한다. 자신이 먼저 싸움을 걸지 않는 온순한 성격이다.몸을 둘러싼 단단한 껍질이 적의 공격을 튕겨내고 날카로운 가시로 반격한다.동료끼리 몸을 서로 부딪쳐 하반신을 단련한다. 자신이 먼저 싸움을 걸지 않는 온순한 성격이다.자료 없음","풀","","육상"
"브리가론","몸통박치기로 50톤 전차를 뒤집는 파워를 지녔다. 자신이 방패가 되어 동료를 지킨다.얼굴 앞에 주먹을 맞대어 방어 포즈를 취하면 폭탄의 직격도 견뎌낸다.몸통박치기로 50톤 전차를 뒤집는 파워를 지녔다. 자신이 방패가 되어 동료를 지킨다.얼굴 앞에 주먹을 맞대어 방어 포즈를 취하면 폭탄의 직격도 견뎌낸다.자료 없음","풀","격투","육상"
"푸호꼬","잔가지를 먹으면 힘이 나서 섭씨 200도가 넘는 열기를 커다란 귀에서 내뿜는다.작은 나뭇가지를 들고 다니며 간식 대신 아작아작 먹는다. 귀에서 열기를 뿜어내어 상대를 위협한다.잔가지를 먹으면 힘이 나서 섭씨 200도가 넘는 열기를 커다란 귀에서 내뿜는다.작은 나뭇가지를 들고 다니며 간식 대신 아작아작 먹는다. 귀에서 열기를 뿜어내어 상대를 위협한다.자료 없음","불꽃","","육상"
"테르나","나뭇가지를 꼬리에 꽂고 있다. 꼬리털의 마찰열로 가지에 불을 붙여 싸운다.나뭇가지를 꼬리에서 뽑을 때 마찰로 불이 붙는다. 나뭇가지의 불꽃을 흔들어 동료에게 신호를 보낸다.나뭇가지를 꼬리에 꽂고 있다. 꼬리털의 마찰열로 가지에 불을 붙여 싸운다.작은 나뭇가지를 들고 다니며 간식 대신 아작아작 먹는다. 귀에서 열기를 뿜어내어 상대를 위협한다.자료 없음","불꽃","","육상"
"마폭시","지팡이 끝의 타오르는 불꽃을 바라보며 정신을 통일하면 미래에 일어날 일을 내다볼 수 있다.섭씨 3000도의 불꽃 소용돌이를 초능력으로 조종한다. 적을 소용돌이로 감싸 불태운다.지팡이 끝의 타오르는 불꽃을 바라보며 정신을 통일하면 미래에 일어날 일을 내다볼 수 있다.자료 없음","불꽃","에스퍼","육상"
"개구마르","가슴과 등에서 거품을 내뿜는다. 탄력 있는 거품으로 공격을 막아내고 데미지를 줄인다.섬세한 거품으로 몸을 감싸 피부를 보호한다. 태평한 척하면서 빈틈없이 주위를 살핀다.자료 없음","물","","수중1"
"개굴반장","거품으로 싸인 돌멩이를 던지는 기술을 쓴다. 30m 앞에 있는 빈 캔을 맞출 정도로 컨트롤이 좋다.누구보다도 가벼운 몸을 갖고 있다. 600m를 넘는 타워의 꼭대기까지 1분이면 올라간다.거품으로 싸인 돌멩이를 던지는 기술을 쓴다. 30m 앞에 있는 빈 캔을 맞출 정도로 컨트롤이 좋다.누구보다도 가벼운 몸을 갖고 있다. 600m를 넘는 타워의 꼭대기까지 1분이면 올라간다.자료 없음","물","","수중1"
"개굴닌자","물을 압축시켜 수리검을 만들어 낸다. 고속으로 회전시키며 던지면 금속도 두 동강이 난다.닌자처럼 신출귀몰하다. 재빠른 움직임으로 상대를 농락하면서 물의 수리검으로 벤다.물을 압축시켜 수리검을 만들어 낸다. 고속으로 회전시키며 던지면 금속도 두 동강이 난다.닌자처럼 신출귀몰하다. 재빠른 움직임으로 상대를 농락하면서 물의 수리검으로 벤다.자료 없음","물","악","수중1"
"파르빗","커다란 귀로 땅을 파고 보금자리를 만든다. 하룻밤 동안 쉬지 않고 계속 팔 수 있다.삽과 같은 귀를 가졌다. 구멍을 파는 데 단련된 귀는 두꺼운 뿌리를 자를 정도의 위력이다.커다란 귀로 땅을 파고 보금자리를 만든다. 하룻밤 동안 쉬지 않고 계속 팔 수 있다.삽과 같은 귀를 가졌다. 구멍을 파는 데 단련된 귀는 두꺼운 뿌리를 자를 정도의 위력이다.도감에 없음등장하지 않음귀로 구멍을 파는 것이 특기다. 지하 10km에 달하는 굴을 하룻밤 만에 만들어버린다.위험에 민감하다. 아머까오의 날갯소리를 들으면 눈 깜짝할 사이에 구멍을 파고 땅으로 숨어든다.","노말","","육상"
