"name","desc","type1","type2","egg_group"
"모부기","흙으로 만들어진 등껍질은 물을 먹으면 한층 단단해진다. 호수 근처에서 살고 있다.전신으로 광합성을 하여 산소를 만든다. 목이 마르면 머리의 잎사귀가 시들어 버린다.흙으로 만들어진 등껍질을 만져보아 적당히 젖어 있다면 그 모부기는 매우 건강한 것이다.태양빛을 쬐어 전신으로 광합성을 한다. 등껍질은 흙이 딱딱해진 것이다.흙으로 만들어진 등껍질을 만져보아 적당히 젖어 있다면 그 모부기는 매우 건강한 것이다.태양의 빛을 쬐어 전신으로 광합성을 한다. 등껍질은 흙이 딱딱해진 것이다.전신으로 광합성을 하여 산소를 만든다. 목이 마르면 머리의 잎사귀가 시들어 버린다.태양의 빛을 쬐어 전신으로 광합성을 한다. 등껍질은 흙이 딱딱해진 것이다.전신으로 광합성을 하여 산소를 만든다. 목이 마르면 머리의 잎사귀가 시들어 버린다.자료 없음","풀","","괴수,식물"
"수풀부기","숲 속의 물가에서 산다. 낮에는 숲 밖으로 나와서 등껍질의 나무에 빛을 쬔다.등껍질은 흙이 굳어진 것이다. 수목에 열린 나무열매를 쪼려고 오는 포켓몬도 있다.깨끗한 물이 솟아나는 장소를 알고 있어서 동료 포켓몬을 등에 태우고 그곳까지 데려다준다.숲에서 사는 수풀부기는 아름다운 샘물이 있는 자신만의 비밀 장소를 갖고 있다고 한다.깨끗한 물이 솟아나는 장소를 알고 있어서 동료 포켓몬을 등에 태우고 그곳까지 데려다준다.숲 속의 물가에서 산다. 낮에는 숲 밖으로 나와서 등껍질의 나무에 빛을 쬔다.자료 없음","풀","","괴수,식물"
"토대부기","작은 포켓몬들이 모여 움직이지 않는 토대부기의 등에서 둥지를 만들려고 하는 경우가 있다.이동하는 숲의 정체는 물을 찾아서 거처를 옮기는 토대부기의 무리다.토대부기 등에서 태어나 토대부기 등에서 일생을 다하는 포켓몬도 있다.오랜 옛날 사람들은 대지 밑에 거대한 토대부기가 있다고 공상했었다.토대부기 등에서 태어나 토대부기 등에서 일생을 다하는 포켓몬도 있다.오랜 옛날 사람들은 대지 밑에 거대한 토대부기가 있다고 공상했었다.작은 포켓몬들이 모여 움직이지 않는 토대부기의 등에서 둥지를 만들려고 하는 경우가 있다.오랜 옛날 사람들은 대지 밑에 거대한 토대부기가 있다고 공상했었다.자료 없음","풀","땅","괴수,식물"
"불꽃숭이","낭떠러지 절벽을 민첩하게 올라 바위산의 위에서 생활한다. 불꽃을 끄고 잠잔다.엉덩이의 불꽃은 배에서 만들어진 가스가 연료다. 비에 젖어도 꺼지지 않는다.매우 몸놀림이 가벼운 포켓몬이다. 주변이 불에 타지 않도록 꼬리의 불꽃을 끈 다음에 잠든다.배에서 만들어진 가스가 엉덩이에서 타오르고 있다. 몸 상태가 나쁘면 불꽃이 약해진다.매우 몸놀림이 가벼운 포켓몬이다. 주변이 불에 타지 않도록 꼬리의 불꽃을 끈 다음에 잠든다.엉덩이의 불꽃은 배에서 만들어진 가스가 연료다. 비에 젖어도 꺼지지 않는다.배에서 만들어진 가스가 엉덩이에서 타오르고 있다. 몸 상태가 나쁘면 불꽃이 약해진다.엉덩이의 불꽃은 배에서 만들어진 가스가 연료다. 비에 젖어도 꺼지지 않는다.자료 없음","불꽃","","육상,인간형"
"파이숭이","꼬리의 불꽃을 길게 늘여 몸을 커 보이게 해서 습격해온 적에게 겁을 준다.천장이나 벽을 이용하여 공중 내리찍기를 날린다. 꼬리의 불꽃도 무기의 하나이다.꼬리 불꽃의 세기를 잘 컨트롤하여 자신에게 맞는거리를 두고 싸운다.꼬리의 불꽃의 크기와 파란 얼굴 무늬가 선명할수록 무리에서 지위가 높다.꼬리 불꽃의 세기를 잘 컨트롤하여 자신에게 맞는 거리를 두고 싸운다.천장이나 벽을 이용하여 공중 내려찍기를 날린다. 꼬리의 불꽃도 무기의 하나이다.꼬리의 불꽃 세기를 잘 컨트롤하여 자신에게 맞는 거리를 두고 싸운다.자료 없음","불꽃","격투","육상,인간형"
"초염몽","양팔 양쪽 다리를 활용한 특수한 격투 기술을 사용한다. 불꽃은 평생 꺼지지 않는다.머리에서 타오르는 불꽃처럼 과격한 성격의 포켓몬이다. 스피드는 누구에게도 지지 않는다.손발에 불꽃을 두르는 독특한 격투 기술을 써서 어떤 상대라도 맞서 싸운다.스피드로 상대를 압도한다. 양팔 양쪽 다리를 활용한 독특한 방식으로 싸운다.손발에 불꽃을 두르는 독특한 격투 기술을 써서 어떤 상대라도 맞서 싸운다.머리에서 타오르는 불꽃처럼 과격한 성격의 포켓몬이다. 스피드는 누구에게도 지지 않는다.스피드로 상대를 농락한다. 양팔 양다리를 활용한 독특한 방식으로 싸운다.머리에서 타오르는 불꽃처럼 과격한 성격의 포켓몬이다. 스피드는 누구에게도 지지 않는다.스피드로 상대를 농락한다. 양팔 양다리를 활용한 독특한 방식으로 싸운다.자료 없음","불꽃","격투","육상,인간형"
"팽도리","자존심이 강해서 사람에게 먹이를 얻는 것을 싫어한다. 긴 솜털이 추위를 막는다.북쪽 나라의 해안선에서 산다. 수영이 특기이다. 10분 이상 바다에 잠수해서 먹이를 잡는다.걷는 것이 서툴러서 넘어질 때도 있지만 프라이드가 높은 팽도리는 신경 쓰지 않고당당하게 가슴을 편다.신세를 지는 것을 싫어한다. 트레이너의 지시를 듣지 않아 친해지기 어렵다.걷는 것이 서툴러서 넘어질 때도 있지만 프라이드가 높은 팽도리는 신경 쓰지 않고당당하게 가슴을 편다.신세를 지는 것을 싫어한다. 트레이너의 지시를 듣지 않아 친해지기 어렵다.자존심이 강해서 사람에게 먹이를 얻는 것을 싫어한다. 긴 솜털이 추위를 막는다.신세를 지는 것을 싫어한다. 트레이너의 지시를 듣지 않아 친해지기 어렵다.자존심이 강해서 사람에게 먹이를 얻는 것을 싫어한다. 긴 솜털이 추위를 막는다.자료 없음","물","","수중1,육상"
"팽태자","무리를 만들지 않고 혼자 생활한다. 어떤 팽태자라도 자신이 제일 훌륭하다고 생각하는 듯하다.날개의 일격은 강렬하다. 큰 나무도 뚝하고 부러질 정도다. 얼음 바다에서 먹이를 찾는다.팽태자들은 모두 자신이 제일 훌륭하다고 생각하기 때문에 무리를 만드는 것은 불가능하다.무리를 만들지 않고 생활한다. 날개의 강렬한 일격은 큰 나무를 두 동강으로 꺾는다.팽태자들은 모두 자신이 제일 훌륭하다고 생각하기 때문에 무리를 만드는 것은 불가능하다.무리를 만들지 않고 혼자 생활한다. 어떤 팽태자라도 자신이 제일훌륭하다고 생각하는 듯하다.무리를 만들지 않고 생활한다. 날개의 강렬한 일격은 큰 나무를 두 동강으로 꺾는다.무리를 만들지 않고 혼자 생활한다. 어떤 팽태자라도 자신이 제일 훌륭하다고 생각하는 듯하다.무리를 만들지 않고 생활한다. 날개의 강렬한 일격은 큰 나무를 두 동강으로 꺾는다.자료 없음","물","","수중1,육상"
"엠페르트","부리에서 늘어난 3개의 뿔은 강하다는 것을 증명한다. 리더의 뿔이 제일 크다.제트스키와 맞먹는 속도로 헤엄친다. 날개 가장자리는 날카롭게 유빙을 절단한다.프라이드를 건드리는 자는 유빙까지도 절단하는 날개로 두 동강을 낸다.쓸데없는 분쟁은 하지 않지만 무리의 안전을 위협하는 적은 가차없이 때려눕힌다.프라이드를 건드리는 자는 유빙까지도 절단하는 날개로 두 동강을 낸다.제트스키와 맞먹는 속도로 헤엄친다. 날개 가장자리는 날카롭게 유빙을 절단한다.부리에서 늘어난 3개의 뿔은 강하다는 것을 증명한다. 리더의 뿔이 제일 크다.제트스키와 맞먹는 속도로 헤엄친다. 날개 가장자리는 날카롭게 유빙을 절단한다.부리에서 늘어난 3개의 뿔은 강하다는 것을 증명한다. 리더의 뿔이 제일 크다.자료 없음","물","강철","수중1,육상"
"찌르꼬","많은 수가 무리를 이루어 행동한다. 몸은 작지만 날개치는 힘은 매우 강하다.평소에는 무리로 살고 있지만 1마리가 되면 눈에 띄지 않는다. 울음소리가 무척 시끄럽다.무리를 만드는 것으로 한 마리로는 약하다는 단점을 커버하고 있지만무리가 커지면 다투기 시작한다.벌레 포켓몬을 노리고 산과 들을 많은 무리로 날아다닌다. 울음소리가 무척 시끄럽다.무리를 만드는 것으로 한 마리로는 약하다는 단점을 커버하고 있지만무리가 커지면 다투기 시작한다.많은 수가 무리를 이루어 행동한다. 몸은 작지만 날개 치는 힘은 매우 강하다.벌레 포켓몬을 노리고 산과 들을 많은 무리로 날아다닌다. 울음소리가 무척 시끄럽다.많은 수가 무리를 이루어 행동한다. 몸은 작지만 날개 치는 힘은 매우 강하다.벌레 포켓몬을 노리고 산과 들을 많은 무리로 날아다닌다. 울음소리가 무척 시끄럽다.등장하지 않음","노말","비행","비행"
"찌르버드","벌레 포켓몬을 노리고 숲이나 초원을 날아다닌다. 큰 무리를 이루어 행동한다.숲이나 초원에 서식한다. 그룹이 마주치면 영역을 건 분쟁이 시작된다.자신의 약함을 잘 알고 있기에 항상 무리를 지어 살고 있다. 혼자가 되면 요란하게 운다.큰 그룹을 만들어 행동하는 습성이 있다. 그룹 간의 분쟁이 격하다.자신의 약함을 잘 알고 있기에 항상 무리를 지어 살고 있다. 혼자가 되면 요란하게 운다.큰 그룹을 만들어 행동하는 습성이 있다. 그룹간의 분쟁이 격하다.숲이나 초원에 서식한다. 그룹이 마주치면 영역을 건 분쟁이 시작된다.큰 그룹을 만들어 행동하는 습성이 있다. 그룹 간의 분쟁이 격하다.숲이나 초원에 서식한다. 그룹이 마주치면 영역을 건 분쟁이 시작된다.등장하지 않음","노말","비행","비행"
"찌르호크","사나운 성격의 포켓몬이다. 자신보다도 몸이 큰 상대에게도 과감하게 도전한다.날개와 발의 근육이 강해 작은 포켓몬을 붙잡은 채로 너끈히 날 수 있다.자신의 몸이 상처를 입더라도 공격을 그만두지 않게 되었다. 볏의 모양을 신경 쓴다.찌르호크가 되면 무리에서 떨어져 혼자서 살아간다. 강인한 날개를 가지고 있다.자신의 몸이 상처를 입더라도 공격을 그만두지 않게 되었다. 볏의 모양을 신경 쓴다.날개와 발의 근육이 강해 작은 포켓몬을 붙잡은 채로 너끈히 날 수 있다.찌르호크가 되면 무리에서 떨어져 혼자서 살아간다. 강인한 날개를 가지고 있다.날개와 발의 근육이 강해 작은 포켓몬을 붙잡은 채로 너끈히 날 수 있다.찌르호크가 되면 무리에서 떨어져 혼자서 살아간다. 강인한 날개를 가지고 있다.등장하지 않음","노말","비행","비행"
"비버니","어떤 것에도 동요하지 않는 대담한 신경의 소유자다. 보기 보다는 기민하게 활동한다.항상 큰 나무나 돌을 갉아서 튼튼한 앞니를 갈아내고 있다. 물가에 둥지를 만들어 산다.비버니와 꼬렛의 앞니 어느 쪽이 빨리 길게 자라는가 비교한 결과 무승부였다.물가에서 무리를 만들어 생활한다.앞니로 갉기 때문에 보금자리 주변의 돌이나 나무가 갉아져 있다.비버니와 꼬렛의 앞니 어느 쪽이 빨리 길게 자라는가 비교한 결과 무승부였다.어떤 것에도 동요하지 않는 대담한 신경의 소유자다. 보기보다는 기민하게 활동한다.항상 큰 나무나 돌을 갉아서 튼튼한 앞니를 갈아내고 있다. 물가에 둥지를 만들어 산다.어떤 것에도 동요하지 않는 대담한 신경의 소유자다. 보기보다는 기민하게 활동한다.자료 없음","노말","","수중1,육상"
"비버통","강을 나무열매나 진흙의 댐으로 막아서 거처를 만든다. 부지런한 일꾼으로 알려져 있다.지상에서의 동작은 느리지만 헤엄치는 스피드는 빈티나와 호각을 이룬다.비버통이 댐을 만든 강은 범람하는 일이 없기에 근처의 사람들로부터 감사를 받는다.예리한 앞니로 갉아 얻은 나뭇가지나 뿌리를 쌓아 물가에 부지런히 보금자리를 만든다.비버통이 댐을 만든 강은 범람하는 일이 없기에 근처의 사람들로부터 감사를 받는다.예리한 앞니로 갉아 얻은 나뭇가지나 뿌리를 쌓아 물가에 부지런히 보금자리를 만든다.강을 나무줄기나 진흙의 댐으로 막아서 거처를 만든다. 부지런한 일꾼으로 알려져 있다.예리한 앞니로 갉아 얻은 나뭇가지나 뿌리를 쌓아 물가에 부지런히 보금자리를 만든다.자료 없음","노말","물","수중1,육상"
"귀뚤뚜기","머리를 전후로 흔들어 더듬이를 서로 부딪치며 실로폰 같은 소리를 낸다.더듬이를 서로 부딪쳐 내는 소리로 동료와 대화한다. 음색은 가을 밤의 정취를 잘 나타낸다.다리가 짧아 넘어지려고 할 때마다 단단한 더듬이가 서로 비벼져서실로폰 소리 같은 것이 울린다.더듬이가 서로 부딪치면 딩동딩동 실로폰 같은 음색을 연주한다.다리가 짧아 넘어지려고 할 때마다 단단한 더듬이가 서로 비벼져서실로폰 소리 같은 것이 울린다.더듬이를 서로 부딪쳐 내는 소리로 동료와 대화한다. 음색은 가을 밤의 정취를 잘 나타낸다.더듬이를 서로 부딛쳐 내는 소리로 동료와 대화한다. 음색은 가을밤의 정취를 잘 나타낸다.더듬이가 서로 부딪히면 딩동딩동 실로폰 같은 음색을 연주한다.자료 없음","벌레","","벌레"
"귀뚤톡크","울 때는 나이프 같은 팔을 가슴 앞에서 교차시킨다. 즉흥으로 멜로디를 만든다.감정을 멜로디로 나타낸다. 멜로디의 법칙성을 학자들이 연구하고 있다.변화무쌍한 울음소리를 겨루는 울음소리 비교 놀이를 즐기는 마을이 있다.몸 안에 있는 빈 공간으로 소리를 메아리치게 해 아름다운 울음소리가 된다.변화무쌍한 울음소리를 겨루는 울음소리 비교 놀이를 즐기는 마을이 있다.울 때는 나이프 같은 팔을 가슴 앞에서 교차시킨다. 즉흥으로 멜로디를 만든다.감정을 멜로디로 나타낸다. 멜로디의 법칙성을 학자들이 연구하고 있다.자료 없음","벌레","","벌레"
